Action,User_BS_1,User_BS_2
1,17.0,33.0
1,12.0,38.0
1,14.0,36.0
1,8.0,42.0
1,11.0,39.0
1,11.0,39.0
1,10.0,40.0
1,14.0,36.0
1,12.0,38.0
1,11.0,39.0
1,4.0,46.0
1,13.0,37.0
1,11.0,39.0
1,12.0,38.0
1,15.0,35.0
1,14.0,36.0
1,14.0,36.0
1,20.0,30.0
1,12.0,38.0
1,9.0,41.0
1,16.0,34.0
1,14.0,36.0
1,16.0,34.0
1,14.0,36.0
1,8.0,42.0
1,14.0,36.0
1,15.0,35.0
1,16.0,34.0
1,9.0,41.0
1,17.0,33.0
1,13.0,37.0
1,9.0,41.0
1,17.0,33.0
1,14.0,36.0
1,14.0,36.0
1,16.0,34.0
1,16.0,34.0
1,14.0,36.0
1,17.0,33.0
1,11.0,39.0
1,9.0,41.0
1,10.0,40.0
1,14.0,36.0
1,11.0,39.0
1,11.0,39.0
1,12.0,38.0
1,7.0,43.0
1,15.0,35.0
1,13.0,37.0
1,18.0,32.0
1,8.0,42.0
1,14.0,36.0
1,8.0,42.0
1,18.0,32.0
1,15.0,35.0
1,13.0,37.0
1,11.0,39.0
1,13.0,37.0
1,13.0,37.0
1,13.0,37.0
1,13.0,37.0
1,15.0,35.0
1,19.0,31.0
1,12.0,38.0
1,12.0,38.0
1,20.0,30.0
1,13.0,37.0
1,12.0,38.0
1,15.0,35.0
1,11.0,39.0
1,15.0,35.0
1,17.0,33.0
1,11.0,39.0
1,15.0,35.0
1,15.0,35.0
1,14.0,36.0
1,9.0,41.0
1,17.0,33.0
1,9.0,41.0
1,14.0,36.0
1,11.0,39.0
1,7.0,43.0
1,17.0,33.0
1,13.0,37.0
1,11.0,39.0
1,15.0,35.0
1,15.0,35.0
1,15.0,35.0
1,14.0,36.0
1,10.0,40.0
1,11.0,39.0
1,13.0,37.0
1,13.0,37.0
1,15.0,35.0
1,17.0,33.0
1,12.0,38.0
1,8.0,42.0
1,12.0,38.0
1,14.0,36.0
1,17.0,33.0
